,locality,Postcode,Median 2013,Median 2014,Median 2015,Median 2016,Median 2017,Median 2018,Median 2019,Median 2020,Median 2021,Median 2022
447,Malvern East,3145,1200000.0,1380000.0,1610000.0,1729000.0,1824000.0,1900000.0,1787500.0,1885000.0,2100500.0,2410000.0
448,Mambourin,3024,,,,,,,,,597500.0,639000.0
449,Manifold Heights,3218,532500.0,489000.0,489500.0,620000.0,721500.0,785500.0,715000.0,825000.0,924500.0,934000.0
450,Manor Lakes,3024,340500.0,360000.0,385000.0,417500.0,490000.0,526000.0,533000.0,570000.0,597500.0,661000.0
451,Mansfield,3722,364000.0,347000.0,367500.0,359000.0,385000.0,430000.0,450000.0,510000.0,640000.0,795000.0
452,Marengo,3233,750000.0,382500.0,577500.0,599000.0,670000.0,597500.0,687500.0,750000.0,1075000.0,1725000.0
453,Maribyrnong,3032,714000.0,750500.0,837500.0,940000.0,1056000.0,1050000.0,961500.0,936500.0,1165000.0,1125000.0
454,Marlo,3888,295000.0,285000.0,335500.0,305000.0,432500.0,385000.0,355000.0,405000.0,435000.0,580000.0
455,Marong,3515,310000.0,345000.0,364000.0,330000.0,348000.0,365000.0,420000.0,465000.0,560000.0,640000.0
456,Marshall,3216,360000.0,382500.0,377000.0,400000.0,430000.0,468000.0,486500.0,510000.0,600000.0,671000.0
457,Maryborough,3465,194000.0,200000.0,192500.0,206500.0,194000.0,229500.0,236000.0,269500.0,337500.0,390000.0
458,Marysville,3779,180000.0,125000.0,320000.0,332500.0,383000.0,477500.0,462500.0,475000.0,670000.0,980000.0
459,Mccrae,3938,530000.0,535000.0,597500.0,689000.0,775000.0,847500.0,795000.0,952500.0,1160000.0,1040000.0
460,Mckenzie Hill,3451,397000.0,140000.0,429500.0,475000.0,471500.0,495000.0,536500.0,544500.0,697500.0,687500.0
461,Mckinnon,3204,1025000.0,1220000.0,1500000.0,1657500.0,1720000.0,1555000.0,1520500.0,1677500.0,1895000.0,2267500.0
462,Mcloughlins Beach,3874,145500.0,169500.0,145000.0,180000.0,110000.0,191000.0,210000.0,208000.0,271500.0,285000.0
463,Meadow Heights,3048,317000.0,322500.0,350500.0,370000.0,451000.0,510000.0,474000.0,499000.0,557000.0,600000.0
464,Meeniyan,3956,199000.0,223500.0,242500.0,270000.0,244500.0,292500.0,424500.0,349500.0,520000.0,780000.0
465,Melton,3337,245000.0,240000.0,255000.0,280500.0,369000.0,415000.0,385000.0,390000.0,455000.0,496000.0
466,Melton South,3338,230000.0,238000.0,260000.0,276000.0,377000.0,417000.0,390000.0,420000.0,465000.0,535000.0
467,Melton West,3337,285500.0,290000.0,295000.0,330000.0,409000.0,453000.0,428000.0,470000.0,515000.0,550000.0
468,Mentone,3194,705000.0,810000.0,950000.0,982500.0,1097500.0,1080000.0,1031000.0,1050000.0,1376000.0,1228000.0
469,Menzies Creek,3159,515000.0,428000.0,580000.0,597000.0,640000.0,760000.0,682500.0,745000.0,1020000.0,850000.0
470,Merbein,3505,140500.0,167000.0,180000.0,170000.0,183500.0,180000.0,210000.0,203000.0,227500.0,295500.0
471,Meredith,3333,353000.0,230000.0,280000.0,250000.0,323500.0,400000.0,330500.0,470000.0,523000.0,650000.0
472,Merinda Park,Unknown,310000.0,310000.0,345000.0,385000.0,471500.0,523000.0,476000.0,527500.0,615000.0,677000.0
473,Mernda,3754,375000.0,370000.0,410000.0,430000.0,525000.0,573500.0,552000.0,570000.0,670000.0,682500.0
474,Merrigum,3618,160500.0,149000.0,209500.0,164500.0,160000.0,190000.0,270000.0,179000.0,255000.0,248500.0
475,Merrijig (Mansfield),Unknown,332500.0,390000.0,292500.0,344000.0,420000.0,461000.0,422500.0,613000.0,882000.0,905000.0
476,Metung,3904,337500.0,287500.0,299000.0,360000.0,347500.0,371500.0,455000.0,485000.0,517500.0,625000.0
477,Mickleham,3064,213000.0,168000.0,390000.0,437000.0,500500.0,520000.0,525000.0,565000.0,630000.0,665000.0
478,Middle Park,3206,1587500.0,2125000.0,2317000.0,2238500.0,2370000.0,2685000.0,2775000.0,2680000.0,2864000.0,2600000.0
479,Mildura,3500,225500.0,245000.0,252000.0,260000.0,264000.0,281500.0,310000.0,337000.0,380000.0,439500.0
480,Mill Park,3082,408000.0,430500.0,480000.0,560000.0,668500.0,657000.0,653000.0,690000.0,755000.0,805500.0
481,Millgrove,3799,245000.0,260000.0,275000.0,293500.0,343000.0,411000.0,415000.0,425000.0,540000.0,626000.0
482,Miners Rest,3352,330000.0,327500.0,335000.0,334000.0,370000.0,400000.0,427500.0,440000.0,530000.0,655000.0
483,Minyip,3392,73500.0,95000.0,93000.0,82500.0,94000.0,81000.0,114500.0,75000.0,151500.0,144000.0
484,Mirboo North,3871,265000.0,250000.0,262000.0,275000.0,264000.0,307500.0,327500.0,376000.0,475000.0,621000.0
485,Mitcham,3132,650000.0,730000.0,885500.0,941000.0,1070000.0,998000.0,942000.0,1066500.0,1212500.0,1215000.0
486,Mitchell Park,3355,267000.0,267500.0,260000.0,259000.0,263000.0,304500.0,313000.0,330000.0,400000.0,555000.0
487,Moe,3825,155000.0,170000.0,162500.0,173000.0,175000.0,200000.0,210000.0,250000.0,315000.0,335000.0
488,Monbulk,3793,395000.0,425000.0,471500.0,521500.0,608000.0,650000.0,630000.0,650000.0,766000.0,790000.0
489,Mont Albert,3127,1316000.0,1490000.0,1863000.0,1921000.0,2100000.0,1990000.0,1690000.0,2170000.0,2349000.0,2675000.0
490,Mont Albert North,3129,995000.0,1100000.0,1400000.0,1490000.0,1565000.0,1460000.0,1380000.0,1437000.0,1590000.0,1555000.0
491,Montmorency,3094,570000.0,614000.0,732000.0,780500.0,890000.0,926000.0,856000.0,913000.0,1160000.0,1175000.0
492,Montrose,3765,445000.0,476500.0,559000.0,625000.0,700500.0,737500.0,707500.0,730000.0,845000.0,930000.0
493,Moonee Ponds,3039,830500.0,920000.0,1006000.0,1110500.0,1310000.0,1360000.0,1300000.0,1290000.0,1540000.0,1825000.0
494,Moorabbin,3189,682000.0,768000.0,855000.0,980000.0,1160000.0,1130000.0,1065000.0,1072500.0,1400000.0,1445000.0
495,Mooroolbark,3138,440000.0,465000.0,558500.0,620000.0,725000.0,720000.0,670000.0,720000.0,842500.0,873000.0
496,Mooroopna,3629,207500.0,215000.0,230000.0,215500.0,225000.0,230000.0,247500.0,268500.0,335000.0,395500.0
497,Mordialloc,3195,680000.0,755000.0,850000.0,933000.0,1120000.0,1046500.0,1017500.0,1089000.0,1410000.0,1130000.0
498,Mornington,3931,525000.0,558000.0,641000.0,745000.0,800000.0,850000.0,810000.0,895000.0,1100000.0,1225000.0
499,Mortlake,3272,129500.0,152500.0,120000.0,152000.0,170000.0,165000.0,164000.0,220000.0,290500.0,322500.0
500,Morwell,3840,160000.0,150000.0,150000.0,153000.0,170000.0,167000.0,179000.0,200000.0,275000.0,315000.0
501,Mount Beauty,3699,180000.0,200000.0,189500.0,183000.0,258000.0,267500.0,295000.0,330000.0,446000.0,580000.0
502,Mount Clear,3350,286000.0,288000.0,322500.0,345000.0,345000.0,379000.0,396500.0,414000.0,505000.0,586500.0
503,Mount Dandenong,3767,450000.0,610000.0,612500.0,641000.0,847000.0,647500.0,690000.0,791000.0,858500.0,1280000.0
504,Mount Duneed,3217,286000.0,532000.0,545000.0,425000.0,500000.0,555000.0,557000.0,593000.0,698000.0,770000.0
505,Mount Egerton,3352,250000.0,295000.0,230000.0,271500.0,310000.0,340500.0,330000.0,271000.0,555000.0,450000.0
506,Mount Eliza,3930,750000.0,777500.0,832000.0,950000.0,1137500.0,1222500.0,1180000.0,1313000.0,1700000.0,1767500.0
507,Mount Evelyn,3796,406000.0,428500.0,493500.0,551000.0,640000.0,671500.0,636000.0,709000.0,820000.0,796500.0
508,Mount Helen,3350,344000.0,368000.0,342000.0,355000.0,376000.0,420000.0,417000.0,470000.0,610000.0,615000.0
509,Mount Macedon,3441,662500.0,600000.0,635000.0,750000.0,665000.0,859000.0,775000.0,1043000.0,1626000.0,1530000.0
510,Mount Martha,3934,727500.0,745000.0,785000.0,965000.0,1050000.0,1202500.0,1262500.0,1410500.0,1857500.0,1800000.0
511,Mount Pleasant,3350,276500.0,269500.0,293500.0,297500.0,293000.0,350000.0,377500.0,415000.0,498000.0,590000.0
512,Mount Waverley,3149,820000.0,950000.0,1267500.0,1265000.0,1416000.0,1320000.0,1270500.0,1300000.0,1510000.0,1510000.0
513,Mulgrave,3170,577500.0,627000.0,765500.0,786000.0,900500.0,860000.0,840000.0,850000.0,1000000.0,907500.0
514,Murchison,3610,186000.0,155000.0,165000.0,187000.0,254500.0,225000.0,244500.0,291500.0,400000.0,410000.0
515,Murrumbeena,3163,870000.0,982500.0,1204000.0,1286000.0,1420000.0,1343500.0,1241500.0,1405000.0,1687500.0,1755000.0
516,Murtoa,3390,95000.0,110000.0,91000.0,97500.0,115000.0,110000.0,119000.0,130000.0,142500.0,160000.0
517,Myrtleford,3737,220000.0,245000.0,242000.0,270500.0,265000.0,295000.0,325000.0,385000.0,515000.0,624500.0
518,Nagambie,3608,312500.0,378000.0,360500.0,336000.0,330000.0,385000.0,414000.0,460000.0,545000.0,700000.0
519,Nar Nar Goon,3812,350000.0,395500.0,550000.0,442500.0,470000.0,522500.0,508500.0,535000.0,655000.0,655000.0
520,Narre Warren,3805,370000.0,386000.0,430000.0,486500.0,590000.0,614000.0,588000.0,610000.0,700000.0,768000.0
521,Narre Warren North,3804,685000.0,822500.0,773000.0,900000.0,1108000.0,1180000.0,1075000.0,1185000.0,1430000.0,1467500.0
522,Narre Warren South,3805,410000.0,440000.0,476000.0,530000.0,620000.0,636500.0,625000.0,660000.0,750000.0,806500.0
523,Nathalia,3638,165000.0,190500.0,178000.0,185000.0,232500.0,210000.0,229000.0,256000.0,265000.0,330000.0
524,Natimuk,3409,166000.0,145000.0,161000.0,165500.0,249500.0,158500.0,148500.0,221000.0,296000.0,275000.0
525,Neerim South,3831,340000.0,336500.0,280000.0,330000.0,320000.0,406500.0,413000.0,473500.0,555000.0,475000.0
526,Nelson,3292,224000.0,203500.0,257500.0,220000.0,249500.0,255000.0,247500.0,210000.0,355000.0,410000.0
527,Nerrina,3350,455000.0,482500.0,522500.0,517500.0,570000.0,575000.0,617500.0,630000.0,580000.0,510000.0
528,New Gisborne,3438,500000.0,510000.0,498000.0,545000.0,625000.0,757500.0,695000.0,721500.0,798500.0,820000.0
529,Newborough,3825,213000.0,215000.0,220000.0,224500.0,220000.0,250000.0,255000.0,290000.0,359000.0,412500.0
530,Newcomb,3219,280000.0,292000.0,290500.0,310000.0,375000.0,453500.0,435000.0,476000.0,584000.0,615000.0
531,Newhaven,3925,442500.0,422500.0,480000.0,457500.0,447500.0,520000.0,712000.0,505000.0,827500.0,936500.0
532,Newington,3350,320000.0,341000.0,345000.0,372500.0,422500.0,465000.0,490000.0,735000.0,720000.0,645000.0
533,Newlands Arm,3875,320000.0,302000.0,332500.0,380000.0,380000.0,367500.0,443000.0,470000.0,550000.0,660000.0
534,Newport,3015,695000.0,740000.0,825000.0,950000.0,1080000.0,1059000.0,1055000.0,1092500.0,1288000.0,1350000.0
535,Newstead,3462,300000.0,297500.0,365000.0,362000.0,420000.0,318500.0,436000.0,470000.0,540000.0,615000.0
536,Newtown (Greater Geelong),Unknown,570000.0,620000.0,642500.0,712500.0,780000.0,843000.0,832000.0,940000.0,1175000.0,1085000.0
537,Nhill,3418,110000.0,125000.0,128000.0,140000.0,126500.0,149000.0,137000.0,158500.0,180000.0,171000.0
538,Nichols Point,3501,316500.0,304000.0,370000.0,396000.0,346000.0,470000.0,430000.0,475000.0,510000.0,500000.0
539,Niddrie,3042,700000.0,747500.0,832500.0,910000.0,1095000.0,1070000.0,1070000.0,1000500.0,1210000.0,995000.0
540,Noble Park,3174,400000.0,440000.0,510000.0,600000.0,680000.0,680000.0,625500.0,675000.0,755000.0,770000.0
541,Noble Park North,3174,383000.0,420000.0,491500.0,563000.0,640000.0,660000.0,610000.0,655500.0,750000.0,790000.0
542,Norlane,3214,202500.0,215000.0,216000.0,236500.0,290000.0,355000.0,350000.0,372000.0,450000.0,505000.0
543,North Bendigo,3550,271000.0,280000.0,286000.0,279000.0,302000.0,310000.0,325000.0,374000.0,460500.0,520000.0
544,North Geelong,3215,277000.0,301000.0,335000.0,338500.0,422000.0,495000.0,500000.0,550500.0,600000.0,638500.0
545,North Melbourne,3051,802500.0,832000.0,926000.0,1200000.0,1390000.0,1185000.0,1375000.0,1150000.0,1311500.0,1177000.0
546,North Shore,3214,354000.0,403500.0,561000.0,533000.0,511000.0,497000.0,552500.0,615000.0,660000.0,
547,North Wonthaggi,3995,230000.0,268500.0,274500.0,259500.0,294000.0,369000.0,389000.0,419000.0,560000.0,664000.0
548,Northcote,3070,818000.0,935000.0,1008500.0,1190000.0,1325000.0,1345000.0,1307500.0,1413000.0,1655000.0,1550000.0
549,Notting Hill,3168,566500.0,660000.0,780000.0,872500.0,993000.0,957500.0,880000.0,940000.0,1163000.0,1220000.0
550,Numurkah,3636,195000.0,215000.0,219000.0,195000.0,219000.0,225000.0,250000.0,239000.0,310000.0,385000.0
551,Nunawading,3131,637500.0,721500.0,880000.0,970000.0,1090000.0,986000.0,951000.0,1038500.0,1250000.0,1295000.0
552,Nyah West,3595,94000.0,107500.0,146500.0,130000.0,133500.0,136000.0,85000.0,129000.0,174500.0,209000.0
553,Nyora,3987,222500.0,265000.0,245000.0,300000.0,260000.0,340000.0,370000.0,530000.0,745000.0,735000.0
554,Oak Park,3046,576500.0,626000.0,660000.0,822500.0,853500.0,878500.0,840000.0,911500.0,1127500.0,1422500.0
555,Oakleigh,3166,753500.0,801500.0,1002000.0,1050000.0,1210000.0,1250000.0,1101000.0,1255000.0,1389500.0,1425000.0
556,Oakleigh East,3166,672000.0,820000.0,995000.0,983000.0,1195000.0,992500.0,950000.0,995000.0,1176500.0,1162500.0
557,Oakleigh South,3167,603000.0,700000.0,830000.0,890000.0,1030000.0,960000.0,908000.0,983500.0,1200000.0,1237500.0
558,Ocean Grove,3226,459000.0,515000.0,516500.0,555000.0,637000.0,691000.0,695000.0,790000.0,960000.0,1125000.0
559,Officer,3809,342000.0,339000.0,375000.0,440000.0,480000.0,548000.0,540000.0,582000.0,650000.0,720000.0
560,Officer South,3809,,,,,283000.0,569500.0,714000.0,770000.0,726500.0,935000.0
561,Olinda,3788,496000.0,520000.0,553500.0,620000.0,705000.0,760000.0,746500.0,757500.0,1087500.0,938500.0
562,Omeo,3898,210000.0,190000.0,212500.0,150000.0,183000.0,183500.0,250000.0,238000.0,319500.0,345000.0
563,Orbost,3888,156000.0,150000.0,145000.0,162500.0,159000.0,165000.0,185500.0,220000.0,240000.0,315000.0
564,Ormond,3204,997500.0,1187500.0,1300000.0,1550000.0,1604500.0,1600000.0,1475000.0,1590000.0,1895000.0,1927500.0
565,Osborne,3691,530000.0,540500.0,580000.0,640000.0,735000.0,757000.0,777500.0,850500.0,1114000.0,1070000.0
566,Ouyen,3490,75000.0,77500.0,105500.0,130000.0,130000.0,93000.0,99000.0,121000.0,155500.0,135000.0
567,Pakenham,3810,335000.0,350000.0,367000.0,400000.0,470000.0,520000.0,485000.0,525000.0,600000.0,655000.0
568,Paradise Beach,3851,163500.0,178000.0,188500.0,200000.0,180000.0,199000.0,200000.0,248000.0,321500.0,407500.0
569,Park Orchards,3114,952500.0,1103000.0,1225000.0,1335000.0,1450000.0,1480000.0,1510000.0,1530000.0,1920000.0,2240000.0
570,Parkdale,3195,760000.0,860000.0,965000.0,1100000.0,1300000.0,1245000.0,1157500.0,1200500.0,1526500.0,1391500.0
571,Parkville,3052,1200000.0,1525000.0,1360500.0,2130000.0,2287500.0,2430000.0,1480000.0,1837500.0,2301500.0,2233000.0
572,Pascoe Vale,3044,580000.0,655000.0,720000.0,805000.0,891000.0,901000.0,855000.0,947500.0,1050000.0,1097500.0
573,Pascoe Vale South,3044,645500.0,701000.0,745000.0,840000.0,975000.0,955000.0,950000.0,1006000.0,1299500.0,1116000.0
574,Patterson Gardens,Unknown,620000.0,672000.0,739000.0,812000.0,885000.0,890000.0,920000.0,970000.0,1155000.0,1282500.0
575,Patterson Lakes,3197,645000.0,734000.0,787500.0,810000.0,1021500.0,1025000.0,924000.0,1100000.0,1317000.0,1287500.0
576,Paynesville,3880,283000.0,300000.0,302500.0,308000.0,336500.0,353000.0,340000.0,392500.0,465000.0,545000.0
577,Pearcedale,3912,385000.0,445000.0,470000.0,534000.0,607000.0,660000.0,660000.0,665000.0,775000.0,985000.0
578,Penshurst,3289,144000.0,132500.0,191000.0,152000.0,125000.0,165000.0,165000.0,175000.0,188500.0,237500.0
579,Peterborough,3270,287500.0,307500.0,296500.0,340000.0,315000.0,450000.0,419000.0,550000.0,660000.0,610000.0
580,Pioneer Bay,3984,200000.0,220000.0,240000.0,216000.0,271500.0,308000.0,310000.0,355000.0,354000.0,550000.0
581,Plenty,3093,773000.0,750000.0,915500.0,935000.0,1145000.0,1350000.0,1301000.0,1202500.0,1610000.0,1600000.0
582,Point Cook,3030,450000.0,445000.0,465000.0,505000.0,590000.0,630000.0,635000.0,664000.0,740000.0,740000.0
583,Point Lonsdale,3225,700000.0,707500.0,655000.0,641000.0,780000.0,840000.0,827500.0,880000.0,1300000.0,1485000.0
584,Poowong,3988,215000.0,218000.0,240000.0,325000.0,293000.0,315000.0,443000.0,412500.0,422500.0,495000.0
585,Porepunkah,3740,347000.0,285000.0,323000.0,330000.0,447000.0,464500.0,530000.0,615000.0,757500.0,1047500.0
586,Port Albert,3971,262500.0,190000.0,197500.0,218500.0,270000.0,240000.0,250000.0,315000.0,425000.0,523500.0
587,Port Campbell,3269,317500.0,285000.0,287500.0,335000.0,330000.0,395000.0,495000.0,473000.0,580000.0,800000.0
588,Port Fairy,3284,400000.0,425000.0,447500.0,473500.0,500000.0,651000.0,620000.0,670000.0,950000.0,1125000.0
589,Port Melbourne,3207,995000.0,917500.0,1252500.0,1380000.0,1485000.0,1488000.0,1400000.0,1595000.0,1805000.0,1617500.0
590,Port Welshpool,3965,201500.0,244000.0,200000.0,380000.0,247500.0,295000.0,315000.0,310000.0,447500.0,489000.0
591,Portarlington,3223,390000.0,414500.0,409000.0,460000.0,515000.0,640000.0,625000.0,690000.0,820000.0,954000.0
592,Portland,3305,235000.0,210000.0,220000.0,220000.0,230000.0,234500.0,266000.0,295000.0,369000.0,443500.0
593,Portland North,3305,300000.0,248000.0,330000.0,340000.0,360000.0,367500.0,276000.0,507000.0,470000.0,295000.0
594,Portsea,3944,1195000.0,1305000.0,1800000.0,1701000.0,1925000.0,2180000.0,1950000.0,2530000.0,3765000.0,4400000.0
595,Prahran,3181,990000.0,1175000.0,1350000.0,1430000.0,1525000.0,1578000.0,1520000.0,1650000.0,1830000.0,1750000.0
596,Preston,3072,632500.0,690000.0,791000.0,882000.0,996000.0,980000.0,940000.0,1030000.0,1250000.0,1252500.0
597,Princes Hill,3054,1216500.0,1210000.0,1280000.0,1555000.0,1767500.0,1650000.0,2035000.0,1600000.0,1992500.0,1582500.0
598,Pyramid Hill,3575,112500.0,117000.0,112500.0,112500.0,112500.0,100000.0,120000.0,117500.0,128000.0,200000.0
599,Quarry Hill,3550,385000.0,355000.0,377500.0,349000.0,362000.0,407500.0,395000.0,430000.0,535500.0,585000.0
600,Queenscliff,3225,630000.0,695000.0,700000.0,795000.0,763000.0,950000.0,950000.0,969000.0,1372000.0,1870000.0
601,Rainbow,3424,62000.0,77000.0,68000.0,59500.0,82500.0,99000.0,75000.0,82000.0,112000.0,142500.0
602,Rawson,3825,160500.0,100000.0,147000.0,151000.0,146500.0,164000.0,156000.0,217500.0,330000.0,290000.0
603,Raymond Island,3880,297500.0,280000.0,285000.0,330000.0,289500.0,360000.0,300000.0,416500.0,450000.0,434500.0
604,Red Cliffs,3496,163000.0,153000.0,175000.0,165000.0,223500.0,211500.0,217500.0,270000.0,311000.0,325000.0
605,Redan,3350,250000.0,245000.0,246500.0,255000.0,287500.0,330000.0,357000.0,387500.0,455000.0,509000.0
606,Research,3095,605500.0,685000.0,686000.0,825500.0,950000.0,915000.0,937500.0,1178000.0,1175500.0,1090000.0
607,Reservoir,3073,510000.0,541000.0,615000.0,710000.0,812500.0,790000.0,754000.0,795500.0,940000.0,966000.0
608,Rhyll,3923,393000.0,482000.0,402000.0,460000.0,527500.0,657500.0,565000.0,579000.0,781500.0,935000.0
609,Richmond,3305,900000.0,961000.0,1150000.0,1265000.0,1302500.0,1312000.0,1260000.0,1365000.0,1480000.0,1385000.0
610,Riddells Creek,3431,450000.0,417500.0,456500.0,500000.0,580000.0,675000.0,702500.0,680000.0,880000.0,962500.0
611,Ringwood,3134,551000.0,660000.0,777500.0,837500.0,910500.0,896500.0,801000.0,900000.0,1018000.0,1032500.0
612,Ringwood East,3135,547000.0,612000.0,750000.0,806000.0,901000.0,881000.0,809000.0,866000.0,1050000.0,1075000.0
613,Ringwood North,3134,631000.0,662000.0,783500.0,844000.0,960500.0,920000.0,871000.0,957500.0,1183000.0,1130000.0
614,Rippleside,3215,585000.0,530000.0,644000.0,739000.0,725000.0,750000.0,825000.0,862000.0,1090000.0,910000.0
615,Ripponlea,3185,985000.0,1000000.0,1360000.0,1700000.0,1787500.0,1564000.0,1350000.0,2001000.0,1892500.0,1650000.0
616,Robinvale,3549,151500.0,160000.0,184500.0,170000.0,197000.0,220000.0,231500.0,235000.0,340000.0,402500.0
617,Rochester,3561,189500.0,215000.0,235000.0,239000.0,242500.0,236000.0,255000.0,237000.0,350000.0,385000.0
618,Rockbank,3335,309000.0,280000.0,300000.0,347000.0,455000.0,500000.0,497000.0,465000.0,565000.0,602500.0
619,Romsey,3434,387500.0,396000.0,420000.0,428000.0,470000.0,550000.0,580500.0,630000.0,780000.0,772500.0
620,Rosanna,3084,717500.0,781500.0,905000.0,980000.0,1175000.0,1100000.0,1032500.0,1122500.0,1372000.0,1250000.0
621,Rosebud,3939,367000.0,365000.0,389000.0,445000.0,536000.0,590000.0,550000.0,595000.0,780000.0,832500.0
622,Rosebud South,Unknown,425000.0,500000.0,515000.0,545000.0,647500.0,711500.0,697000.0,658500.0,949500.0,1275000.0
623,Rosedale,3847,215000.0,215000.0,197000.0,230000.0,247000.0,280000.0,247000.0,252000.0,367500.0,420000.0
624,Rowville,3178,570000.0,617500.0,710000.0,778000.0,867000.0,838000.0,820000.0,838000.0,1005000.0,1075000.0
625,Roxburgh Park,3064,365000.0,385000.0,400000.0,435000.0,515000.0,546000.0,543000.0,572500.0,615000.0,645000.0
626,Rupanyup,3388,75000.0,105000.0,53500.0,75000.0,63500.0,87000.0,100500.0,90000.0,118000.0,220000.0
627,Rushworth,3612,161000.0,158000.0,177000.0,200000.0,192500.0,198000.0,205000.0,226000.0,301000.0,365000.0
628,Rutherglen,3685,232000.0,195000.0,230000.0,255000.0,262000.0,270000.0,282500.0,350000.0,402500.0,490000.0
629,Rye,3941,425000.0,460000.0,488000.0,550000.0,658000.0,705000.0,690000.0,793500.0,1100000.0,1225000.0
630,Safety Beach,3936,515000.0,516500.0,595000.0,665000.0,780000.0,825000.0,810000.0,895000.0,1117000.0,1420000.0
631,Sailors Gully,3556,253000.0,262500.0,235000.0,225000.0,232000.0,290000.0,280000.0,300000.0,390000.0,470000.0
632,Sale,3852,290000.0,300000.0,298000.0,295500.0,300000.0,309500.0,325000.0,345000.0,399500.0,515000.0
633,San Remo,3925,410000.0,407000.0,420000.0,460000.0,497000.0,515000.0,554500.0,597500.0,850000.0,907500.0
634,Sanctuary Lakes,Unknown,480000.0,485000.0,570000.0,503000.0,629000.0,627500.0,625000.0,653500.0,710000.0,730000.0
635,Sandhurst,3977,545000.0,549000.0,617500.0,678500.0,730000.0,837500.0,812500.0,780000.0,950000.0,966000.0
636,Sandringham,3191,1210000.0,1305000.0,1490000.0,1760000.0,1862500.0,1850000.0,1665000.0,1847000.0,2364000.0,2432500.0
637,Sandy Point,3959,352500.0,380000.0,370000.0,359000.0,407500.0,410000.0,410000.0,517500.0,755000.0,820000.0
638,Sassafras,3787,632500.0,556000.0,562000.0,653500.0,775500.0,750000.0,805000.0,770000.0,860000.0,973500.0
639,Sawmill Settlement,3723,259000.0,205500.0,233000.0,350000.0,270000.0,285000.0,441000.0,400000.0,560000.0,565000.0
640,Scoresby,3179,509000.0,570000.0,661000.0,700000.0,878500.0,835000.0,767000.0,785000.0,955000.0,982500.0
641,Sea Lake,3533,80000.0,75000.0,90000.0,75000.0,70000.0,110000.0,100000.0,106500.0,121500.0,160000.0
642,Seabrook,3028,422500.0,402500.0,456000.0,509000.0,635000.0,672500.0,626500.0,652500.0,730000.0,780000.0
643,Seaford,3198,419000.0,450000.0,475000.0,580500.0,700000.0,695000.0,655000.0,700000.0,850000.0,915000.0
644,Seaholme,3018,641000.0,670000.0,802500.0,872500.0,1157500.0,1015000.0,1020000.0,937500.0,1222000.0,1220000.0
645,Seaspray,3851,152000.0,164000.0,240000.0,175000.0,215000.0,210000.0,265000.0,260000.0,334000.0,390000.0
646,Sebastopol,3356,242000.0,235500.0,244500.0,247500.0,256000.0,289500.0,315000.0,341000.0,420000.0,457000.0
647,Seddon,3011,675000.0,730000.0,830000.0,934500.0,982500.0,1018500.0,960000.0,1064500.0,1225000.0,971000.0
648,Selby,3159,420000.0,420000.0,469500.0,527500.0,600000.0,637500.0,601500.0,720000.0,904500.0,820000.0
649,Seville,3139,400000.0,397500.0,450000.0,511500.0,611500.0,634500.0,620000.0,626000.0,770000.0,810000.0
650,Seville East,3139,339500.0,350000.0,395000.0,440000.0,482500.0,551500.0,580000.0,600000.0,720000.0,
651,Seymour,3660,220000.0,213000.0,225000.0,242500.0,277000.0,295000.0,300000.0,325000.0,390000.0,420000.0
652,Shepparton,3630,247000.0,243000.0,250000.0,265000.0,261000.0,275000.0,282000.0,310000.0,370000.0,405000.0
653,Shepparton North,3631,346000.0,375000.0,348000.0,361000.0,347000.0,334000.0,393000.0,379000.0,425000.0,654000.0
654,Shoreham,3916,607000.0,620000.0,903000.0,868500.0,970000.0,1160000.0,1400000.0,1077000.0,1767500.0,1155000.0
655,Silverleaves,3922,508000.0,460500.0,484000.0,446500.0,515000.0,721000.0,618500.0,775000.0,982000.0,2195000.0
656,Skenes Creek,3233,465000.0,435000.0,491500.0,520000.0,517000.0,580000.0,667500.0,815000.0,952500.0,850000.0
657,Skipton,3361,155000.0,117500.0,137000.0,169000.0,187500.0,159500.0,200000.0,219500.0,270000.0,352500.0
658,Skye,3977,395000.0,413000.0,430000.0,479000.0,570000.0,611000.0,597500.0,610000.0,745000.0,812500.0
659,Smiths Beach,3922,372500.0,390000.0,455000.0,470000.0,458500.0,589000.0,624500.0,695000.0,837000.0,976500.0
660,Smythes Creek,3351,,380000.0,380000.0,380000.0,380000.0,426500.0,430000.0,440500.0,500000.0,575000.0
661,Smythesdale,3351,260000.0,207500.0,225000.0,250000.0,315000.0,290000.0,342500.0,475000.0,522500.0,
662,Soldiers Hill,3350,283000.0,341000.0,310000.0,374000.0,423500.0,447500.0,480000.0,557500.0,569000.0,655000.0
663,Somers,3927,657500.0,755000.0,696500.0,755500.0,820000.0,888500.0,950000.0,980000.0,1700000.0,1850000.0
664,Somerville,3912,385000.0,395000.0,425000.0,465000.0,580000.0,615000.0,600000.0,640000.0,780000.0,900000.0
665,Sorrento,3943,770000.0,795000.0,859000.0,1130000.0,1300000.0,1380000.0,1470000.0,1665000.0,2200000.0,2426500.0
666,South Dudley,3995,192000.0,200500.0,221500.0,256000.0,233500.0,270000.0,339000.0,330000.0,445000.0,522000.0
667,South Geelong,3220,420500.0,470000.0,425000.0,495000.0,650000.0,676000.0,702500.0,835000.0,1000000.0,1070000.0
