,locality,Median 2013,Median 2014,Median 2015,Median 2016,Median 2017,Median 2018,Median 2019,Median 2020,Median 2021,Median 2022,Postcode
757,Wangaratta,240000.0,255000.0,272000.0,270500.0,270000.0,320000.0,319000.0,356500.0,425000.0,530000.0,Unknown
758,Wantirna,576000.0,667500.0,764000.0,801000.0,953000.0,906500.0,850000.0,910000.0,1065000.0,1105000.0,Unknown
759,Wantirna South,579000.0,676500.0,829000.0,875000.0,1005000.0,1000000.0,988500.0,1015000.0,1222000.0,1336000.0,3152
760,Warburton,310000.0,315000.0,325000.0,366000.0,418000.0,495000.0,512500.0,543000.0,675000.0,825000.0,Unknown
761,Warneet,337000.0,355000.0,395000.0,390000.0,485000.0,534000.0,512500.0,600000.0,666000.0,,3980
762,Warracknabeal,107500.0,110000.0,110000.0,123500.0,113000.0,112500.0,118000.0,140000.0,180000.0,214500.0,3393
763,Warragul,315000.0,320000.0,342000.0,340000.0,365000.0,449000.0,460000.0,497500.0,580000.0,648000.0,Unknown
764,Warrandyte,640000.0,760000.0,829000.0,890000.0,1042500.0,1110000.0,994000.0,996000.0,1285000.0,1320000.0,Unknown
765,Warranwood,603000.0,665000.0,790000.0,865000.0,943500.0,1010000.0,935000.0,957000.0,1145000.0,1323000.0,3134
766,Warrnambool,325000.0,323000.0,330000.0,320000.0,330000.0,350000.0,370000.0,415000.0,520000.0,587500.0,3280
767,Waterways,667000.0,845000.0,902000.0,1050000.0,1127500.0,1110000.0,1270000.0,1408000.0,1445000.0,1270500.0,3195
768,Watsonia,505000.0,555000.0,607500.0,698000.0,835000.0,795000.0,736000.0,790000.0,961000.0,950000.0,Unknown
769,Watsonia North,510000.0,572500.0,635000.0,702500.0,790000.0,770000.0,726500.0,795000.0,962500.0,980500.0,3087
770,Wattle Glen,475000.0,500500.0,569000.0,580000.0,620000.0,810000.0,778500.0,810000.0,924000.0,895000.0,3096
771,Waurn Ponds,446500.0,470000.0,480000.0,501000.0,530000.0,621500.0,641500.0,671000.0,727500.0,807500.0,3216
772,Wedderburn,154000.0,137500.0,110000.0,150000.0,155000.0,130000.0,138500.0,150000.0,176500.0,325000.0,Unknown
773,Weir Views,327500.0,388000.0,389000.0,418000.0,440000.0,470000.0,465000.0,495500.0,530000.0,593500.0,3338
774,Welshpool,166000.0,193000.0,272500.0,180000.0,230000.0,259000.0,300000.0,242500.0,380000.0,400000.0,Unknown
775,Wendouree,243000.0,247000.0,250000.0,252500.0,267500.0,326000.0,335000.0,370000.0,465000.0,495000.0,Unknown
776,Wendouree West,190000.0,165000.0,207500.0,185000.0,200000.0,245000.0,259000.0,300000.0,380000.0,420000.0,Unknown
777,Werribee,309000.0,315000.0,335000.0,403000.0,470000.0,510000.0,500000.0,513000.0,575000.0,620500.0,Unknown
778,Werribee South,538000.0,585000.0,680000.0,540000.0,650000.0,735000.0,744500.0,650000.0,822500.0,685000.0,3030
779,Wesburn,312500.0,288500.0,395000.0,455000.0,455000.0,463500.0,530000.0,532000.0,665000.0,700000.0,3799
780,West Bendigo,259000.0,355000.0,293500.0,270000.0,215000.0,269500.0,241500.0,363500.0,575000.0,,3550
781,West Footscray,553000.0,637500.0,697000.0,798000.0,887500.0,875000.0,785000.0,835000.0,1000000.0,1100000.0,3012
782,West Melbourne,905000.0,916000.0,1005000.0,1104500.0,1350000.0,1370000.0,1017500.0,1215000.0,1260000.0,1166000.0,3003
783,West Wodonga,272500.0,296000.0,306000.0,308500.0,321000.0,322000.0,342500.0,370000.0,429000.0,475000.0,3690
784,Westall,513500.0,550000.0,610000.0,696000.0,780000.0,800000.0,744500.0,739000.0,851000.0,905000.0,Unknown
785,Westgarth,920000.0,1100000.0,1300000.0,1500000.0,1383000.0,1707500.0,1492500.0,1566000.0,2075000.0,1915000.0,Unknown
786,Westmeadows,386500.0,419000.0,470000.0,500000.0,566000.0,620000.0,620000.0,605500.0,715500.0,650000.0,3049
787,Wheelers Hill,740000.0,805000.0,999000.0,1050000.0,1160000.0,1118500.0,1010000.0,1173500.0,1371000.0,1458000.0,3150
788,White Hills,280000.0,306000.0,297500.0,305000.0,300000.0,313500.0,330000.0,355000.0,470000.0,515000.0,3550
789,Whittington,259000.0,262000.0,280000.0,265000.0,316500.0,395000.0,377500.0,404000.0,485000.0,583000.0,3219
790,Whittlesea,375000.0,375000.0,400000.0,448500.0,469500.0,577500.0,580000.0,610000.0,675000.0,797500.0,3757
791,Williams Landing,470000.0,450000.0,510000.0,530000.0,600000.0,685000.0,657000.0,680000.0,760000.0,802500.0,3027
792,Williamstown,920000.0,970000.0,1120000.0,1282500.0,1440000.0,1415000.0,1350000.0,1402500.0,1635500.0,1575500.0,Unknown
793,Williamstown North,768000.0,803500.0,862500.0,1135500.0,1024000.0,847000.0,950000.0,905000.0,1250000.0,1610000.0,3016
794,Wimbledon Heights,271500.0,310000.0,291500.0,299000.0,334000.0,410000.0,386500.0,435000.0,592000.0,700000.0,3922
795,Winchelsea,287000.0,287500.0,262000.0,267000.0,357000.0,391000.0,430000.0,480000.0,552500.0,593000.0,Unknown
796,Windsor,835000.0,956500.0,1094000.0,1505000.0,1420000.0,1422500.0,1350000.0,1350000.0,1640000.0,1863000.0,3181
797,Winter Valley,344500.0,360000.0,365000.0,362500.0,375000.0,405000.0,435000.0,470000.0,575000.0,601000.0,3358
798,Wodonga,282500.0,295000.0,295000.0,315000.0,341500.0,350000.0,331000.0,348000.0,440000.0,490000.0,Unknown
799,Wollert,400000.0,395000.0,432000.0,460000.0,520000.0,538000.0,570000.0,575000.0,640000.0,705000.0,3750
800,Wonga Park,674500.0,673500.0,735000.0,801000.0,962500.0,1150000.0,1111000.0,1077500.0,1230000.0,1410000.0,3115
801,Wonthaggi,225000.0,251000.0,262000.0,265000.0,289000.0,339000.0,375000.0,405000.0,550000.0,547500.0,Unknown
802,Woodend,470000.0,460000.0,482500.0,460000.0,560000.0,665000.0,747500.0,765000.0,895000.0,937500.0,Unknown
803,Woolamai Waters,349000.0,381500.0,340000.0,375000.0,418000.0,469500.0,495500.0,560000.0,766500.0,818000.0,Unknown
804,Woori Yallock,330000.0,317000.0,358000.0,391500.0,480000.0,520000.0,510000.0,552000.0,635000.0,615500.0,3139
805,Wurruk,285000.0,222000.0,230000.0,259500.0,235000.0,310000.0,210000.0,267000.0,352500.0,436500.0,3850
806,Wy Yung,285000.0,285000.0,290000.0,333500.0,328000.0,315000.0,349000.0,370000.0,453000.0,395000.0,3875
807,Wycheproof,95000.0,103000.0,100000.0,82500.0,100000.0,124500.0,141500.0,131000.0,170000.0,185000.0,Unknown
808,Wyndham Vale,288000.0,306000.0,325000.0,365000.0,435500.0,474000.0,460500.0,480000.0,530000.0,575000.0,3024
809,Yackandandah,327500.0,318000.0,300000.0,392500.0,446000.0,472500.0,497500.0,490000.0,669000.0,780000.0,3749
810,Yallambie,532500.0,580000.0,665000.0,713500.0,781000.0,810000.0,792500.0,832500.0,990000.0,910000.0,3085
811,Yallourn North,135000.0,149500.0,153000.0,165500.0,180000.0,172000.0,191000.0,206000.0,263000.0,302500.0,3825
812,Yarra Glen,420000.0,460000.0,530000.0,540000.0,620000.0,670000.0,670000.0,732500.0,850500.0,765000.0,3775
813,Yarra Junction,406500.0,357500.0,417500.0,422500.0,535000.0,562500.0,582500.0,595000.0,687000.0,765000.0,3797
814,Yarragon,258000.0,297000.0,284000.0,300000.0,280000.0,390000.0,410000.0,414000.0,565000.0,595000.0,Unknown
815,Yarram,190000.0,202500.0,245000.0,230000.0,225000.0,218000.0,240000.0,260000.0,360000.0,452500.0,Unknown
816,Yarraville,696000.0,710000.0,810000.0,900500.0,1000000.0,1045000.0,971000.0,1030000.0,1185000.0,1350000.0,Unknown
817,Yarrawonga,302500.0,297000.0,300500.0,320000.0,324500.0,345000.0,375000.0,456500.0,560000.0,695000.0,Unknown
818,Yea,260000.0,255000.0,260000.0,305000.0,385000.0,390000.0,435500.0,422500.0,560000.0,610000.0,Unknown
819,Yinnar,220000.0,240000.0,182500.0,230000.0,270000.0,245000.0,255000.0,292500.0,460000.0,562500.0,Unknown
